,NPD_FIELD_CODE,NPD_FACILITY_CODE,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
7131,0.0,0.0,0.9400000000000001,0.6666325735701156,0.9177869546848244,0.6676830344174789,0.83284015625,0.24826407965450195,0.9402623431674574,0.034300461848193665,0.04970715048678059,0.05705430048300242,0.44596453233116057
7132,0.0,0.0,0.96,0.6608993508070927,0.9176647498707851,0.6668168811546148,1.0,0.23384531484227208,0.9345224424333348,0.019910364375957532,0.06386140211150527,0.07334575282919298,0.47261482640093044
7133,0.0,0.0,0.96,0.6601496870948623,0.9175522559691168,0.6662095607196895,1.0,0.23320456909640352,0.9265725420751935,0.01928374630678813,0.060091463466407646,0.06904211604821367,0.46479655750815685
7134,0.0,0.0,0.96,0.6597066055054486,0.917614395658809,0.6663794866846154,1.0,0.23149354334462424,0.9226915049525348,0.019144986087320865,0.08290638495149176,0.10424949322731886,0.441930362202421
7135,0.0,0.0,0.96,0.6588041341146939,0.9177077732007276,0.6667257011188303,1.0,0.2280082427949646,0.9286410800454427,0.019678665424243055,0.05517356152217216,0.05843257289011467,0.4509836533539052
7136,0.0,0.0,0.96,0.6600490035490206,0.9176569312873277,0.6673912862898482,1.0,0.22993609532557827,0.936396200903676,0.01972829529807492,0.058391594734991996,0.0666859390268919,0.4511900801879782
7137,0.0,0.0,0.96,0.6598139191256891,0.917659840215112,0.6677068415717912,1.0,0.2284604703642526,0.9362258128429851,0.019898860329312616,0.05732684179333604,0.059169862082924754,0.4512006964251591
7138,0.0,0.0,0.96,0.6605537847061574,0.9176030095586368,0.668153799071351,1.0,0.22947682322631574,0.9388284181735266,0.019781945042305755,0.05628246689841034,0.05791906859929516,0.44788371209708433
7139,0.0,0.0,0.96,0.6600869526423736,0.9176545139011361,0.668517913921334,1.0,0.22720783671445283,0.9338601306426247,0.019339317867973802,0.0550971438469337,0.05641313783885581,0.44872121525246594
7140,0.0,0.0,0.96,0.6605577267001276,0.9176707597347883,0.6688895597022669,1.0,0.2276347476722494,0.9274902398986049,0.019052419969365332,0.056703613197502334,0.058446448798085006,0.44510461711950816
7141,0.0,0.0,0.96,0.6610796476449502,0.9176462556183635,0.669139507831354,1.0,0.2285163304676495,0.9239576675031681,0.018948233992214767,0.054750717052519327,0.055934849645505845,0.4388221638722371
7142,0.0,0.0,0.72,0.6727117607232121,0.9171303566037866,0.6736930673224144,0.5621967354166667,0.250726402860717,0.8828982720531582,0.04148208910013814,0.03217693578707658,0.03288087785405447,0.323489722302827
