,NPD_FIELD_CODE,NPD_FACILITY_CODE,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE
2853,0.0,0.0,0.8300000000000001,0.0,0.0,0.16524823576301292,0.5010099325581395,0.38117396204332166,0.9055512828350799,0.1613513844381966
2854,0.0,0.0,0.96,0.0,0.0,0.15225655007942415,0.5584635958333334,0.3512063664271302,0.9425195326959388,0.1306198795243331
2855,0.0,0.0,0.96,0.0,0.0,0.15763966138323943,0.5401700791666667,0.36362345429691023,0.959419758941242,0.14388243567932096
2856,0.0,0.0,0.96,0.0,0.0,0.16183953752349528,0.5322519645833333,0.3733112032830381,0.9415828417213286,0.15080053864316353
2857,0.0,0.0,0.96,0.0,0.0,0.1616909530050193,0.5323305520833334,0.372968467099839,0.9563214423901195,0.148512220285165
2858,0.0,0.0,0.96,0.0,0.0,0.16116580330770375,0.5324797395833334,0.37175711746050794,0.9587307609376216,0.14726978828284218
2859,0.0,0.0,0.96,0.0,0.0,0.16097948840498366,0.5322244708333334,0.3713273495460149,0.9566039691345986,0.14429325636343973
2860,0.0,0.0,0.1263332,0.0,0.0,0.17024219279836583,0.4468114,0.39269339751959226,0.9506278040577624,0.1653395686764964
2861,0.0,0.0,0.8136668,0.0,0.0,0.15749118249284152,0.4893087829268293,0.3632809617633504,0.8692109969206175,0.13850299283512185
2862,0.0,0.0,0.8833332,0.0,0.0,0.16517329341825035,0.48813793555555557,0.3810010944157426,0.9053392650121386,0.15804689425115875
2863,0.0,0.0,0.96,0.0,0.0,0.16157167597011268,0.5117313041666667,0.3726933337541412,0.9109380410889036,0.14922398357690703
2864,0.0,0.0,0.96,0.0,0.0,0.16121925361943978,0.5123890916666667,0.37188040995439026,0.9200713750121913,0.1483457177639146
2865,0.0,0.0,0.96,0.0,0.0,0.16019543875975953,0.5228502604166667,0.3695188018884329,0.9437140492927591,0.14615107093912794
2866,0.0,0.0,0.96,0.0,0.0,0.1572019720117996,0.5210602145833333,0.3626138471983193,0.9431836947634837,0.13944475213228497
2867,0.0,0.0,0.96,0.0,0.0,0.1541788676551174,0.53039166875,0.35564052817929165,0.9516773491193866,0.13156929131168396
2868,0.0,0.0,0.96,0.0,0.0,0.15346388488295984,0.54264484375,0.3539912953460476,0.9518001433556266,0.12972635884509928
2869,0.0,0.0,0.96,0.0,0.0,0.1541753547450692,0.5434792708333334,0.3556324250377652,0.9482827008710155,0.1313580334714786
2870,0.0,0.0,0.96,0.0,0.0,0.15522925734469464,0.5434032645833334,0.358063435739042,0.9458369600319243,0.13390229924367758
2871,0.0,0.0,0.96,0.0,0.0,0.15632222229097997,0.5433144041666667,0.36058455057592004,0.9397567922644505,0.1365115711037899
2872,0.0,0.0,0.96,0.0,0.0,0.15771466961338587,0.5424015625,0.3637964739006522,0.9366507291811618,0.1401054023781842
2873,0.0,0.0,0.96,0.0,0.0,0.158463291689387,0.5415441666666667,0.36552330167260905,0.9300480815465787,0.14202575908782086
2874,0.0,0.0,0.96,0.0,0.0,0.16156662401545416,0.5303458375000001,0.3726816805370018,0.9305772808675317,0.15023578629551224
2875,0.0,0.0,0.96,0.0,0.0,0.16210240178620883,0.5298703166666667,0.3739175456868493,0.9404390373951931,0.15139309775194212
2876,0.0,0.0,0.96,0.0,0.0,0.16330967212934117,0.5249131916666666,0.37670232591657055,0.9381488265141127,0.15464264684836657
2877,0.0,0.0,0.96,0.0,0.0,0.16412745232500675,0.5208495395833334,0.37858867898910475,0.9463358326931565,0.15638584728206542
2878,0.0,0.0,0.96,0.0,0.0,0.1649105640055865,0.5204647395833333,0.3803950630671598,0.9406874767246172,0.15829430215412418
2879,0.0,0.0,0.96,0.0,0.0,0.16460578009017152,0.5212507791666667,0.37969202565154453,0.9471084228414082,0.15710714798550482
